name,address,city,zip,sra_id,sra
Rodriguez Elementary,825 South 31st Street,San Diego,92113,1,CENTRAL SAN DIEGO
Poinsettia Elementary,2445 Mica Road,Carlsbad,92009,41,CARLSBAD
Louise Foussat Elementary,3800 Pala Road,Oceanside,92054,42,OCEANSIDE
Ocean Air,11444 Canter Heights Drive,San Diego,92130,13,DEL MAR-MIRA MESA
Major General Raymond Murray High,215 North Melrose Drive,Vista,92083,52,VISTA
Gompers Preparatory Academy,1005 47th Street,San Diego,92102,5,SOUTHEASTERN SAN DIEGO
Innovation Middle,5095 Arvinels Avenue,San Diego,92117,10,KEARNY MESA
Quest Academy,8805 Tyler Street,Spring Valley,91977,31,SPRING VALLEY
Del Sur Elementary,15665 Paseo Del Sur,San Diego,92127,14,NORTH SAN DIEGO
Willow Grove Elementary,14727 Via Azul,San Diego,92127,14,NORTH SAN DIEGO
Innovations Academy,5454 Ruffin Road,San Diego,92123,10,KEARNY MESA
Joli Ann Leichtag Elementary,653 Poinsettia Avenue,Vista,92081,51,SAN MARCOS
High Tech High Chula Vista,1945 Discovery Falls Drive,Chula Vista,91915,20,SWEETWATER
East Hills Academy,1791 Rock Mountain Road,Chula Vista,91913,20,SWEETWATER
North County Trade Tech High,"1132 N Melrose Drive, Suite 501",Vista,92081,52,VISTA
"Vista Magnet Middle School of Technology, Science, and Math",151 Civic Center Drive,Vista,92084,52,VISTA
All Tribes Charter,34320 Valley Center Road,Valley Center,92082,53,VALLEY CENTER
EJE Middle Academy,851 South Johnson Avenue,El Cajon,92020,34,EL CAJON
Del Norte High,16601 Nighthawk Lane,San Diego,92127,14,NORTH SAN DIEGO
Crawford High,4191 Colts Way,San Diego,92115,6,MID-CITY
East Village Middle College High,1313 Park Boulevard,San Diego,92101,1,CENTRAL SAN DIEGO
King-Chavez Preparatory Academy,500 30th Street,San Diego,92102,1,CENTRAL SAN DIEGO
King-Chavez Primary Academy,415 31st Street,San Diego,92102,1,CENTRAL SAN DIEGO
Mission Vista High,1306 Melrose Drive,Oceanside,92057,42,OCEANSIDE
High Tech Middle North County,1460 West San Marcos Boulevard,San Marcos,92078,51,SAN MARCOS
Willow Elementary,226 Willow Road,San Ysidro,92173,22,SOUTH BAY
School for Entrepreneurship and Technology,3540 Aero Court,San Diego,92123,10,KEARNY MESA
San Diego Global Vision Academy,3430 School Street,San Diego,92116,6,MID-CITY
Holly Drive Leadership Academy,4801 Elm Street,San Diego,92102,6,MID-CITY
High Tech Middle Chula Vista,1949 Discovery Falls Drive,Chula Vista,91915,20,SWEETWATER
High Tech Elementary Chula Vista,1949 Discovery Falls Drive,Chula Vista,91915,20,SWEETWATER
Old Town Academy K-8 Charter,2120 San Diego Avenue,San Diego,92110,2,PENINSULA
Guajome Learning Center,2000 North Santa Fe Avenue,Vista,92083,42,OCEANSIDE
Sevick Special Education,1609 East Madison Avenue,El Cajon,92019,34,EL CAJON
All Tribes Elementary Charter,"34320 Valley Center Road, Suite B",Valley Center,92082,53,VALLEY CENTER
Mountain Empire Special Education Preschool,3291 Buckman Springs Road,Pine Valley,91962,62,MOUNTAIN EMPIRE
The Heights Charter,"2710 Alpine Boulevard, Suite E",Alpine,91901,38,ALPINE
Camp Lockett Middle,31360 Highway 94,Campo,91906,62,MOUNTAIN EMPIRE
Pine Valley Middle,7454 Pine Boulevard,Pine Valley,91962,61,LAGUNA-PINE VALLEY
City Heights Preparatory Charter,4260 54th Street,San Diego,92115,6,MID-CITY
Home & Hosp/Transition Support,"4100 Normal Street, Annex 14",San Diego,92103,1,CENTRAL SAN DIEGO
VIP Village Preschool,1001 Fern Avenue,Imperial Beach,91932,22,SOUTH BAY
Hawking S.T.E.A.M. Charter,489 E Street,Chula Vista,91910,21,CHULA VISTA
Vista Visions Academy,1575 Bonair Drive,Vista,92084,52,VISTA
Camarena (Enrique S.) Elementary,1650 Exploration Falls Drive,Chula Vista,91915,20,SWEETWATER
Del Lago Academy - Campus of Applied Science,1740 Scenic Trail Way,Escondido,92029,50,ESCONDIDO
REACH Academy,230 Jamacha Road,El Cajon,92019,34,EL CAJON
Harbor Springs Charter,1704 Cape Horn,Julian,92036,60,PALOMAR-JULIAN
Kavod Charter,6991 Balboa Avenue,San Diego,92123,10,KEARNY MESA
Bella Mente Montessori Academy,1737 West Vista Way,Vista,92083,52,VISTA
Sage Creek High,3900 Bobcat Boulevard,Carlsbad,92010,41,CARLSBAD
Quantum Academy,420 North Falconer Road,Escondido,92027,50,ESCONDIDO
IDEA Center,1600 North Cuyamaca Street,El Cajon,92020,34,EL CAJON
Eucalyptus Hills Elementary,11838 Valle Vista Road,Lakeside,92040,36,LAKESIDE
La Mesa Arts Academy,4200 Parks Avenue,La Mesa,91942,33,LA MESA
"Science, Technology, Engineering, Arts, and Math Academy at La Presa",1001 Leland Street,Spring Valley,91977,31,SPRING VALLEY
Trust Blended Learning,9009 Park Plaza Drive,La Mesa,91942,33,LA MESA
Ramona Community Montessori,1010 Ramona Street,Ramona,92065,39,RAMONA
San Diego Science and Technology,1405 Park Boulevard,San Diego,92101,1,CENTRAL SAN DIEGO
San Diego International Studies,1405 Park Boulevard,San Diego,92101,1,CENTRAL SAN DIEGO
San Diego Business/Leadership,1405 Park Boulevard,San Diego,92101,1,CENTRAL SAN DIEGO
Kearny Eng Innov & Design,1954 Komet Way,San Diego,92111,10,KEARNY MESA
Kearny Digital Media & Design,1954 Komet Way,San Diego,92111,10,KEARNY MESA
Kearny School of Biomedical Science and Technology,1954 Komet Way,San Diego,92111,10,KEARNY MESA
Kearny College Connections,1954 Komet Way,San Diego,92111,10,KEARNY MESA
ALBA,4041 Oregon Street,San Diego,92104,1,CENTRAL SAN DIEGO
Albert Einstein Academy Charter Middle,458 26th Street,San Diego,92102,1,CENTRAL SAN DIEGO
